id,listing_type,street_address,city,state,zip_code,unit,floor,neighborhood,price,beds,baths,square_feet,placekey,description
1422319,10,29 East 63rd Street,NEW YORK,,10065,,1,#Manhattan#Upper East Side#Lenox Hill#,25000000,6,5,7640,228@627-s4r-52k,"Sprawling legal three-family under construction with approved plans to build an exquisite and majestic single-family townhouse (with elevator) on one of the most upscale and exclusive Manhattan blocks: 63rd Street between Park and Madison Avenue.<br><br>The financially qualified-buyer has the ultimate opportunity: to unlock her or his most inspiring vision and actualize a home you have always craved and needed.With the current team of townhouse experts, particularly the general contractor and architect, the structural possibilities are plentiful.<br><br>The present legal configuration offers three residential units.<br><br>The approved plans, currently in its nascent stages of construction, offers one level below ground and six levels above ground that include:<br><br>- Cellar: sidewalk vault, water service and pumps, sauna room, powder room, two storage areas, elevator machine room, DH closet, IT closet, workshop room, and mechanical room.<br>- Ground floor: two entrances with one entrance leading to the vestibule, and the other entrance leading to an accessory office. Grand foyer, powder room, walk-in closet, kitchen, and spacious breakfast nook.<br>- First floor: living room, dining room with wood-burning fireplace and kitchen.<br>- Second floor: master bedroom with wood-burning fireplace and ensuite master bathroom, and additional spacious bedroom with ensuite full bathroom.<br>- Third floor: Junior suite with wood-burning fireplace and ensuite bathroom, and additional spacious bedroom with ensuite bathroom and large dressing area.<br>- Fourth Floor: Either a library or another bedroom with ensuite bathroom, family room with wood-burning fireplace and direct access to a spacious terrace.<br>- Penthouse: Two enclosed outdoor recreational spaces, an open terrace, and a penthouse suite with skylight and kitchenette.<br><br>All approved drawings and plans can be emailed, so please reach out for existing plans and the approved proposed plans. Since construction is in its early stages, you are welcome to offer your own design should you require a two-family or other legal configuration of your need and choosing.The sale price includes all construction costs for the approved plans. You are welcome to purchase the property and use your own contractor and personnel should you prefer. Or, you may move forward with the existing construction team. The massive flexibility is unparalleled.<br><br>You are truly purchasing a one-of-a-kind property.<br><br>Lot size is 20 ft X 100.42 ft with 8,028 usable square feet."
1641775,10,635 West 42nd Street,NEW YORK,NY,10036,42G,\N,"#Manhattan#Midtown#Midtown West#Hell's Kitchen#,Hell's Kitchen",1195000,1,1,667,222@627-wbt-ndv,"This high-floor one-bedroom, one-bathroom apartment at the Atelier offers breathtaking endless water and sunset views. Situated on the 42nd floor, its southern exposure ensures abundant light and uninterrupted vistas of the river and cityscape. Inside, you'll find upscale appliances including a Sub Zero ""see through"" fridge, Bosch dishwasher, and a Bosch gas convection oven. Convenience is key with a Washer/Dryer unit included. Hardwood floors span throughout, complemented by ample closet space. The modern marble bathroom features a sleek glass shower door panel, adding to the sophisticated ambiance. Residents enjoy an array of amenities such as a 24/7 white glove doorman/concierge, valet services, health club, pool, children's playroom, volleyball/basketball courts, and a sky lounge with billiards. Plus, there's a vast Roof Top Lounge/Sundeck for soaking in the views. Indoor garage parking is also available for added convenience."
1472785,10,350 West 42nd Street,NEW YORK,NY,10036,41H,41,#Manhattan#Midtown#Midtown West#Hudson Yards#,1349000,1,1,794,227@627-wbv-fs5,"This apartment is one of a kind: <br>Is located on the 41st floor of the Orion, super luxury building, 1 bedroom and 1 bathroom with Southern and Western views looking over the Hudson River, Lower Manhattan and the Empire State Building. This apartment features floor-to-ceiling windows, a prime kitchen with granite counter-tops and Bosch appliances, limestone bath with a deep soaking tub and Waterworks fixtures, excellent closet space plus a high-grade washer/dryer inside the unit.The building features impeccable amenities such as 24-hour doorman, three floors of premier spa amenities that include full gym, lap pool, whirlpool, yoga/stretching room, billiards room, sundecks and business center. Near subway and theaters. Other building features include courtyard, roof deck, terrace, meeting room, recreation room, central laundry room, video security, security guard, package room.Conveniently located in Hell's Kitchen with Hudson Yards and Times Square nearby. Nearby access to the major subway lines, A, C, E, N, Q, R, S, 1, 2, 3, 7, & W."
1679167,10,330 East 38th Street,NEW YORK,NY,10016,33H,\N,"Murray Hill,#Manhattan#Midtown#Midtown East#Murray Hill#",720000,0,1,571,222@627-s8f-8qf,"This stunning home with gorgeous bay windows overlooks a spectacular city and river view. As you face east you have a spectacular river view and you look at the Chrysler Building, with a full city view heading west.

The Corinthian is a full-service condominium with amenities that include full-time doormen and staff, a recently added 17,000 square-foot full-floor health and fitness center, offering swimming pool and jacuzzi, gymnasium with yoga facilities, running track, steam and sauna rooms, golf simulator, as well as a business center, resident lounge and terrace, billiards room, outdoor and indoor playground, on-site garage and valet services."
1555616,20,322 West 57th Street,NEW YORK,NY,10019,28U,28,#Manhattan#Midtown#Midtown West#,15000,3,2,1600,225@627-s4r-2hq,"Tastefully designed and decorated, this three bedroom is on the south/west corner facing the river. Enjoy the fabulous skyline view at night and the sunset to the west with the boats and ships passing by. The primary bedroom is huge, (almost 600 square feet) with a large primary bath of Travertine walls and a soaking tub. There is a Miele washer and dryer in the second bath. The spacious open kitchen has Polyform cabinets with glass, Calacatta marble countertops and high end integrated appliances. Rarely will you find a condominium with amenities that match the Sheffield's. There is a fully equipped gym, a Pilates studio with 5 free classes a week, a playroom and 2 residents lounges on the 57Th and 58th floors, a year round pool, , lockers with his and her saunas and steam rooms, 2 BBQ stations on the top floor and decking throughout. The staff is tremendous, you are always greeted with a smile! the concierge service is there to assist you will all your needs and you have a garage with access through the lobby. Finally, a bike room, pet spa and outdoor garden. this most convenient location is steps from the major trains, busses and a block form Central Park, Columbus Circle, Time Warner Center, Lincoln Square to your north and the theatre district a few blocks south. Lease available from 6 months to a year."
1530530,10,350 West 42nd Street,NEW YORK,NY,10036,PHD,60,#Manhattan#Midtown#Midtown West#Hudson Yards#,2350000,2,2,1250,227@627-wbv-fs5,"ORION CONDO 350 West 42nd St # PHD Spectacular view PENTHOUSE impeccable taste define this 61st Floor, 1200+ SF Penthouse at the Orion. - A well appointed 2 Bedroom , 2 bath with East and North views. - Take in the splendor of the North views overlooking the Hudson river, George Washington bridge, iconic New York landmarks and beyond. - The east is a Diadem of jewels with Times square and Broadway lights, the Chrysler , the Empire State and river to river views to name a few . -The bedrooms are separated by the living room offering privacy and an open feel. - Elegant cheery wood flooring, state of the art Kitchen and bath finishes including- Granite counter tops, Zuma tub and Bosch appliances and ample storage. - a chefs kitchen by Valcuccine, lux bathrooms by Waterworks and custom California Closets complete the picture. Large size Washer and Dryer . - Services and amenities abound, including full-time doorman, on-site garage, concierge services, by Prestige and an amazing three-story amenity suite including an 8000sf fitness center by La Palestra, lap pool, whirlpool, club and screening room, business center, residents' cafe, multiple sundecks and daily free breakfast!"
1553337,10,252 Seventh Avenue,NEW YORK,NY,10001,6H,6,#Manhattan#Downtown#Chelsea#,2425000,2,2,1628,22b@627-s8j-9xq,"FANTASTIC 2 BEDROOM OPPORTUNITY AT CHELSEA MERCANTILE <br><br>Chelsea Mercantile is everyone's favorite condo in Chelsea. Residence 6H is a well-priced, enormous two bedroom, two bath loft with 11 foot ceilings, large windows and touches of exposed brick. This very special home has only had one owner with very light use and is in excellent, move in condition. As you enter the apartment, you immediately are impressed with the scale of the great room, with generous living and dining areas and an open kitchen which measures over 30' by 17.5"".<br><br>The chef's kitchen has stainless steel appliances, an island with a breakfast bar, plenty of room to prep your meals and abundant storage. You would never say there are too many cooks in this kitchen because of the layout and space. The great room faces north with three large windows that allow for constant sunlight though out the day. <br><br>The primary bedroom is bigger than a luxury hotel room, 20' by 12'2"" and will fit your king sized bed, dresser, seating for morning coffee and a desk. The walk in closet is huge, all outfitted by California Closets and has shoe storage. En-suite luxurious bath has a double sink, deep soaking tub and separate shower. The second bedroom is 18' by 11"" and can easily accommodate two twin beds or if you prefer, this could be a wonderful den or home office. Another large full bath off the hallway can also serve as your powder room. <br><br>Other additions to note are washer dryer, crown molding, strip hardwood floors, custom lighting, electric shade, exposed brick, custom closets, custom doors and a large storage unit. Chelsea Mercantile has 24 hour doorman, concierge, valet service, renovated lobby, new top of the line gym, soon to be brand new roof deck, children's playroom, laundry in basement and on every floor and direct elevator access garage. Located at Seventh Avenue between 24th and 25th Street, you have Whole Foods in the building, cross town and subway a block away, truly a most convenient location. <br><br>There is an ongoing capital assessment of $270 and a special assessment of $905 till June 30, 2025 for roof deck upgrade and elevator upgrades. Local Law 11 has been completed in the past year."
1568020,10,20 Pine Street,NEW YORK,NY,10005,1007,10,#Manhattan#Downtown#Financial District#,720000,0,1,675,226@627-wbz-td9,"** Facing South **<br><br>Welcome to this beautiful 675 sq ft Alcove Studio, full baths, open layout apartment boasting large living featuring with over-sized windows with Southern exposure. Gallery entry affords additional privacy and has an extra space with extra furniture fit.<br><br>The loft-like apartment has a 12' high ceilings, facing South with a plenty of light, ebony-stained hardwood floors, stone baths accented with bronze & exotic woods, zen style concept kitchen ideal for entertaining, a Sub-Zero fridge, a Miele oven, custom wood cabinetry, a cook top and a dishwasher and washer/dryer in the unit.<br><br>Building Amenities include 24 Hour Doorman, Fitness center, Swimming Pool, Billiard room, Golf simulator, Spa, Rooftop with cabanas, library lounge, and children's playroom. The gym features a fully equipped machine and a yoga space. It is a premium residential building where one can enjoy superb relaxation in the city.<br><br>20 Pine street is in the heart of the Financial District, close to all major subways and the building has direct access via a private entrance to the #2, #3, #4, #5, #J and #Z trains. It is located within a stones throw from new FiDi Whole Foods Market, Dean & DeLuca at 40 Wall St, Stock Exchange, Freedom Tower and South Street Sea Port. The new East River Greenway and Battery Park open up the downtown waterfront for recreation, activity, and expansive views, while the new Westfield World Trade Center and Brookfield Place present myriad high-end dining and retail options.<br><br>Assessment of $74.64/month until 12/2026. Virtually imaged."
1560218,20,252 South Street,NEW YORK,NY,10002,17L,\N,#Manhattan#Downtown#Little Italy#,8495,2,2,1123,224@627-wc9-nt9,"Available for a May 1st move-in date.

Photos are of model residences. Layouts and views may vary.

Virtual tours available. We have the ability to share residence tours, views, finishes, floor plans, and amenities. Please contact us to set up a tour!

Residence 17L is a 1,123 square foot two bedroom, two bathroom with an open gourmet kitchen and breakfast bar. This spacious corner residence overlooks the expanse of Empire State and Midtown in the North West, and NY Harbor, East River, and Downtown Manhattan views in the South West. Warm, modern interiors are brought to life by the renowned design team at Meyer Davis Studio. This residence features imported stone and custom finishes, premium Miele appliance package, 5"" wide stained oak flooring, master bath with custom wood cabinetry, marble tile walls and mosaic floors with radiant heat, under-mount Wetstyle sink with glass vanity top and Dornbracht polished chrome faucets and a washer and dryer.

New Yorks premier development company Extell, has collaborated with a team of world-class talent to create an icon that reflects the quality, choice and excellence that distinguish Extell properties- One Manhattan Square.

Perfectly situated along the Lower East Side Waterfront, this 800-foot-tall striking glass tower offers one to three-bedroom condominium residences that feature epic river and skyline views and a lifestyle enhanced by over 100,000 square feet of indoor and outdoor amenities. One Manhattan Square presents the most valuable waterfront living opportunity in Manhattan with one of the last available 20-year tax abatement in New York City.

Meyer Davis, the award-winning studio behind world-class hotels, elite private homes and flagship retail boutiques, has designed residences that rival five-star resorts. Each residence has been meticulously planned with gracious layouts, custom finishes and the most dynamic views.

Residents can revel in the over 100,000 square feet of resort-like amenities that span three full floors of the tower and over 1-acre of private outdoor gardens.

It all thrives on the Lower East Side. The transforming neighborhood is buzzing with energy and is within proximity of a number of landmarks including the South Street Seaport, Manhattan Bridge, and the East River Esplanade. One Manhattan Square was designed to appeal to those that want it all; iconic views, lush gardens, gorgeous homes, and an unprecedented package of services and amenities.

IMMEDIATE OCCUPANCY

SERVICES AND AMENITIES INCLUDE:
Private motor court
24-Hour doorman and concierge
White-glove services include package delivery, refrigerated storage, dry cleaning valet, and complimentary bicycle storage.
Hammam with cold plunge pool
75 Saltwater indoor swimming pool
Childrens wading pool
Spa treatment rooms
Hot tub
Sauna
Full basketball court
Two-lane bowling alley
Squash court
Golf simulator
42 Person movie theater and performance space
Cellar bar and lounge
Coworking space
Wine storage and tasting room
Cigar room
Culinary lounge and demonstration kitchen
Business center
Game room
Indoor childrens playroom
State-of-the-art weight room & cardio rooms
Separate spin, yoga, Pilates and dance studios
On-site parking garage available
Pet spa, laundry, and alterations facilities

One Acre of Private Outdoor Amenities and Gardens include:
Sumac meander
Birch garden
Social courtyards and relaxation lawns
Fire pits
Outdoor grills and dining
Herb garden
Treehouse
Childrens playground
Tea pavilion
Outdoor ping-pong
Putting green
Stargazing observatory
93 Covered dog run"
1662016,20,420 East 54th Street,NEW YORK,NY,10022,1913,19,#Manhattan#Upper East Side#Sutton Place#,4371,0,1,467,222@627-s8r-sqz,"Welcome to your new sanctuary in Sutton Place.

Boasting a gourmet kitchen with custom Italian cabinetry featuring Bosch appliances, and bathrooms designed by Gachot Studio, this home has it all. Live an elevated lifestyle with our 24 hour concierge, sky lounge, and roof deck. Enjoy true white glove service in this hidden gem. From the luxurious interiors to a wealth of brand new resident amenities and lounge spaces with break-taking views of the East River, Oriana is designed to delight and deliver.

Give us a call today to learn more about our newly renovated community. Please note that pricing is subject to change daily.

Our team is currently offering in-person, virtual, and self-guided tours. We look forward to meeting you soon and helping you to find the perfect new apartment home!

Additional Amenities
Stainless Steel Appliances, Sundeck, Clubhouse, Laundry, Library, DoorAttendant, FitnessCenter, HighSpeed, OnSiteMaintenance, OnSiteManagement, PackageReceiving, Smokefree, Recycling, WirelessInternet, GamingStations, Pet Washing Station, MediaRoom"
1708265,10,252 South Street,NEW YORK,NY,10002,34N,\N,"#Manhattan#Downtown#Lower East Side#,Two Bridges",1480000,1,1,700,224@627-wc9-nt9,"Welcome to your new home! This exquisite unit offers breathtaking, unobstructed views of New York Harbor and the iconic Freedom Tower. The modern and stylish interior is equipped with high-end Miele kitchen appliances, pristine hardwood floors, customized closets, and built-in shelves. Enjoy the convenience of electric window blinds and elegant high-grade wallpaper throughout the unit. Currently, this unit is rented at $5,500 per month.

The building offers an impressive 100,000 square feet of amenities, including a state-of-the-art gym, indoor swimming pool, private movie theater, bowling alley, luxurious spa, full indoor basketball court, squash courts, and more. Additionally, a well-known supermarket is conveniently located in the ground-floor retail space.

Located just one block from the F train, residents have a direct commute to Midtown. Additionally, the building offers a shuttle service to Wall Street and the Freedom Tower, providing ultimate convenience for busy professionals. Parking is available on-site, operated by a third-party service."
1274311,20,20 Pine Street,NEW YORK,NY,10005,1404,14,#Manhattan#Downtown#Financial District#,12000,2,2,1350,226@627-wbz-td9,"Offered Short-Term Furnished Home. The Collection by Armani/ Casa a full lifestyle experience in this luxury full service condominium; this beautifully designed/furnished residence with 4 rooms, 2 bedroom, 2 full baths, open kitchen and living room facing south over Federal Hall with New York Stock Exchange in full view. An incredible layout with a gracious entrance foyer, open kitchen dining area and large living room. The signature Armani kitchen of warm wood tones is fully outfitted with a Sub-Zero, Miele range-oven, Fisher Paykel DW and great storage with stackable Miele washer-dryer. Beautifully flanked bedrooms offering great privacy. The primary bedroom suite with spa-like bathroom of gray granite/ quartz stone, double sink, huge soaking tub and a sybaritic recessed rain showers. Fully wired ceiling speakers sonos sound system throughout every room. 20 Pine is a full-service building personifying modern elegance. Its wide array of amenities include a 24-hour doorman, concierge services, state-of-the-art fitness center, exercise studio, billiard room, golf simulator, roof deck lounge with reflecting pool/ private seating alcoves, lap pool pavilion and spa. There is also bike storage and plenty of additional storage available in the building for an additional fee. A unique feature of 20 Pine St is its private underground entrance to the subways, 2, 3, 4, and 5 trains. The Financial District is a booming neighborhood. The Occulus and World Trade Center 4, which houses The Westfield Mall and the new Eataly by Mario Batali. Service to ten subway lines are close by : A,C,4,5,2,3,N,R,J,Z. With many new restaurants, stores and transportation options, 20 Pine Street, offers the perfect combination of luxury and convenience."
1469616,10,75 Wall Street,NEW YORK,NY,10005,24M,24,#Manhattan#Downtown#Financial District#,1699000,2,2,1244,229@627-wc2-3kf,"Investors only-Seller's financing available!<br>Welcome to Residence 24M at 75 Wall Street, designed by Rockwell Group. This exquisite corner unit is a highly sought-after gem, boasting 1,244 square feet of living space. As you step inside, you'll be greeted by wide-planked cerused oak flooring in the sizable foyer, leading you seamlessly into the open living room. With its ten-foot ceilings, the living space effortlessly connects to the kitchen, which features an island, Caesar Stone countertops, and sleek Lacquer cabinetry by Boffi, an esteemed Italian design studio. High-end appliances from Sub-Zero, Bosch, Miele, complete the kitchen ensemble.<br><br>Privacy is ensured with the thoughtfully designed split bedroom layout. The master bedroom boasts an en-suite bathroom with custom wood cabinetry, Botticino semi-classico marble floors, and tub surround. It offers a double vanity sink, a separate stall shower, and maximizes both space and functionality. The second bedroom is perfectly sized, offering in-room storage and a lovely western-facing window. Just outside the bedroom, you'll find the convenience of an in-residence Bosch washer and dryer.<br><br>The Financial District has become one of the most coveted neighborhoods to call home, and 75 Wall Street represents the epitome of ultra-luxury living. Residents of 75 Wall Street enjoy integrated hotel services provided by the renowned Andaz Group, including room service, catering, housekeeping, and valet laundry. A full-time personal concierge is also at your service. The building itself features a 24-hour doorman, a resident lounge with a children's game room, a fully equipped gym with a yoga studio, and an incredible rooftop lounge offering breathtaking 360-degree views of the city.<br><br>Conveniently situated near major transportation hubs such as Fulton Street Station (servicing the 2, 3, 4, 5, A, C, J, and Z trains), PATH, water taxi, heliport, and FDR, this location provides easy access to all parts of the city. Additionally, you'll find yourself within walking distance of parks, plazas, specialty and gourmet markets, dining establishments, local museums, and attractions such as the South Street Seaport and the brand new Brookfield Place."
